"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 13:29:40 GMT 2023","Tue Jun 13 13:29:41 GMT 2023","513","","test_api","","","","test_unsuccessful_login",""
"passed","Tue Jun 13 13:29:39 GMT 2023","Tue Jun 13 13:29:40 GMT 2023","490","","test_api","","","","test_get_inexistent_tourist",""
"passed","Tue Jun 13 13:29:37 GMT 2023","Tue Jun 13 13:29:38 GMT 2023","670","","test_api","","","","test_get_tourist",""
"passed","Tue Jun 13 13:29:41 GMT 2023","Tue Jun 13 13:29:42 GMT 2023","490","","test_api","","","","test_unsuccessful_empty_login",""
"failed","Tue Jun 13 13:29:38 GMT 2023","Tue Jun 13 13:29:38 GMT 2023","573","","test_api","","","","test_create_tourist",""
"passed","Tue Jun 13 13:29:40 GMT 2023","Tue Jun 13 13:29:40 GMT 2023","520","","test_api","","","","test_successful_login",""
"passed","Tue Jun 13 13:29:38 GMT 2023","Tue Jun 13 13:29:39 GMT 2023","1154","","test_api","","","","test_get_tourist_by_id",""
